Domaine,Zone,Élément,Produit,Année,Valeur
"Bilans Alimentaires (2010-)","El Salvador","Nourriture","Céréales, Autres","2020","2"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2010","9"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2011","14"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2012","16"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2013","1"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2014","135"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2015","172"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2016","220"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2017","132"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2018","168"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2019","171"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Aliments pour animaux","Céréales, Autres","2020","188"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2015","1"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2016","1"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2018","2"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2011","2"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2013","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2014","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2015","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2016","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Équateur","Aliments pour animaux","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2010","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2011","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2012","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2013","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2014","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2015","5"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2016","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2018","2"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2019","3"
"Bilans Alimentaires (2010-)","Équateur","Nourriture","Céréales, Autres","2020","4"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2010","257"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2011","310"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2012","316"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2013","490"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2014","672"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2015","798"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2016","789"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2017","516"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2018","694"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2019","750"
"Bilans Alimentaires (2010-)","Espagne","Aliments pour animaux","Céréales, Autres","2020","1342"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2011","1"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2012","4"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2013","7"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2014","4"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2015","5"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2016","5"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2017","5"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2018","5"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2019","2"
"Bilans Alimentaires (2010-)","Espagne","Nourriture","Céréales, Autres","2020","6"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2010","12"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2011","18"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2012","26"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2013","19"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2014","28"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2015","36"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2016","21"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2017","26"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2018","13"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2019","27"
"Bilans Alimentaires (2010-)","Estonie","Aliments pour animaux","Céréales, Autres","2020","28"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2011","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2013","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2014","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2015","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2016","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2017","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2018","2"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Estonie","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Eswatini","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Eswatini","Nourriture","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2010","70"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2011","68"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2012","81"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2013","77"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2014","86"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2015","77"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2016","65"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2017","68"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2018","357"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2019","382"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Aliments pour animaux","Céréales, Autres","2020","251"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2010","131"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2011","151"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2012","158"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2013","173"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2014","195"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2015","241"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2016","240"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2017","245"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2018","142"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2019","299"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Nourriture","Céréales, Autres","2020","239"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2010","24"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2011","40"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2012","53"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2013","57"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2014","75"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2015","79"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2016","81"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2017","86"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2018","85"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2019","78"
"Bilans Alimentaires (2010-)","Éthiopie","Aliments pour animaux","Céréales, Autres","2020","82"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2010","3231"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2011","3229"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2012","3437"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2013","3958"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2014","3754"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2015","3821"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2016","3897"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2017","4049"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2018","4225"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2019","4478"
"Bilans Alimentaires (2010-)","Éthiopie","Nourriture","Céréales, Autres","2020","4647"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2010","520"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2011","1241"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2012","1169"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2013","1304"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2014","1208"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2015","1294"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2016","1676"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2017","1801"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2018","1126"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2019","539"
"Bilans Alimentaires (2010-)","Fédération de Russie","Aliments pour animaux","Céréales, Autres","2020","600"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2010","24"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2011","27"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2012","15"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2013","15"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2014","18"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2015","17"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2016","21"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2017","21"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2018","24"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2019","489"
"Bilans Alimentaires (2010-)","Fédération de Russie","Nourriture","Céréales, Autres","2020","540"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Fidji","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2011","1"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2013","1"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2014","1"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2019","1"
"Bilans Alimentaires (2010-)","Fidji","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2010","18"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2011","19"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2012","18"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2013","22"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2014","23"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2015","13"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2016","14"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2017","12"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2018","13"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2019","13"
"Bilans Alimentaires (2010-)","Finlande","Aliments pour animaux","Céréales, Autres","2020","9"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2010","8"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2011","6"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2012","7"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2013","8"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2014","6"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2015","6"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2016","6"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2017","6"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2018","6"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2019","7"
"Bilans Alimentaires (2010-)","Finlande","Nourriture","Céréales, Autres","2020","8"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2010","2204"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2011","2268"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2012","2587"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2013","2421"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2014","2291"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2015","2205"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2016","1803"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2017","2161"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2018","1819"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2019","1970"
"Bilans Alimentaires (2010-)","France","Aliments pour animaux","Céréales, Autres","2020","1640"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2010","8"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2011","7"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2012","10"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2013","10"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2014","10"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2015","10"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2016","10"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2017","11"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2018","13"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2019","16"
"Bilans Alimentaires (2010-)","France","Nourriture","Céréales, Autres","2020","15"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Gabon","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Gabon","Nourriture","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Gambie","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2010","1"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2011","1"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2012","2"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2013","3"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2014","2"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2015","1"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2016","1"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2017","1"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2018","1"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2019","2"
"Bilans Alimentaires (2010-)","Gambie","Nourriture","Céréales, Autres","2020","1"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2010","2"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2011","2"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2012","1"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2019","7"
"Bilans Alimentaires (2010-)","Géorgie","Aliments pour animaux","Céréales, Autres","2020","4"
"Bilans Alimentaires (2010-)","Géorgie","Nourriture","Céréales, Autres","2010","13"
"Bilans Alimentaires (2010-)","Géorgie","Nourriture","Céréales, Autres","2011","14"
"Bilans Alimentaires (2010-)","Géorgie","Nourriture","Céréales, Autres","2012","13"
"Bilans Alimentaires (2010-)","Géorgie","Nourriture","Céréales, Autres","2013","14"
"Bilans Alimentaires (2010-)","Géorgie","Nourriture","Céréales, Autres","2014","14"
